"bloco","bairro","região","data","data relativa","concentração","desfile","final","local da concentracao","percurso","público estimado","ano do primeiro desfile"
"Império da Tijuca","Tijuca","Tijuca e Adj","22/01/17","","2017-01-22T19:00:00-02:00","2017-01-22T20:00:00-02:00","2017-01-22T22:00:00-02:00","Rua Conde de Bonfim, esquina com Rua José Higino","Rua Conde de Bonfim, da Rua José Higino até a Rua Uruguai","3000","1940"
"Bigode Esticado","Méier","Zona Norte 2","29/01/17","Domingo - 4 semanas antes do Carnaval","2017-01-29T15:00:00-02:00","2017-01-29T18:00:00-02:00","2017-01-29T21:00:00-02:00","Rua Dias da Cruz, no 255","Rua Dias da Cruz, no 255 - Parado","1000","1999"
"Independente do Morro do Pinto","Santo Cristo","Centro","03/02/17","Sexta-Feira - 3 semanas antes do Carnaval","2017-02-03T18:00:00-02:00","2017-02-03T19:00:00-02:00","2017-02-03T22:00:00-02:00","Rua Farnese, em frente ao no 83","Rua Farnese, Rua Mariano Procópio, Rua Mont Alverne, Rua Sara, Rua Santo Cristo, Rua Waldemar Dutra","1000","1972"
"Badalo de Santa Teresa","Santa Teresa","Centro","03/02/17","Sexta-feira - 3 semanas antes do Carnaval","2017-02-03T19:00:00-02:00","2017-02-03T20:00:00-02:00","2017-02-04T01:00:00-02:00","Largo das Neves","Largo das Neves - Parado","1500","1972"
"Os ""20"" de Ouro do Mestre Odilon","Ilha do Governador","Zona Norte 3","04/02/17","Sábado - 3 semanas antes do Carnaval","2017-02-04T14:00:00-02:00","2017-02-04T17:00:00-02:00","2017-02-04T20:00:00-02:00","Estrada do Rio Jequiá (Posto Necker Pinto)","Segue pela Rua Praia so Jequiá, Rua Maldonado, e Pça Iaiá Garcia","4000","2017"
"Banda de Ipanema - Ensaio","Ipanema","Zona Sul","04/02/17","Sábado - 3 semanas antes do Carnaval","2017-02-04T15:00:00-02:00","2017-02-04T16:00:00-02:00","2017-02-04T20:00:00-02:00","Praca General Osório","Praça General Osório - Parado","5000","1965"
"Beijo Quente","Fazenda Botafogo","Zona Norte 1","04/02/17","Sábado - 3 semanas antes do Carnaval","2017-02-04T15:00:00-02:00","2017-02-04T17:00:00-02:00","2017-02-04T20:00:00-02:00","Rua Pedro Jório","Rua Pedro Jório, Rua Vitor Frond, Rua Ouseley, Rua Prefeito Sá Lessa e Rua Pedro Jório","500","2014"
"É Pequeno mas não amolece","Recreio","Barra/JPA","04/02/17","Sábado - 3 semanas antes do Carnaval","2017-02-04T15:00:00-02:00","2017-02-04T17:00:00-02:00","2017-02-04T21:00:00-02:00","Praça Professor Henrique Niremberg","Parado","500","2009"
"Eles que Digam","Santo Cristo","Centro","04/02/17","Sábado - 3 semanas antes do Carnaval","2017-02-04T15:00:00-02:00","2017-02-04T16:00:00-02:00","2017-02-04T21:00:00-02:00","Travessa São Diogo","Travessa São Diogo, seguindo pela Rua Nabuco de Freitas até a Rua da América e retornando pela Nabuco de Freitas até a Travessa São Diogo","800","1975"
"Larga a Onça, Alfredo! - Ensaio","Laranjeiras","Zona Sul","04/02/17","Sábado - 3 semanas antes do Carnaval","2017-02-04T15:00:00-02:00","2017-02-04T18:00:00-02:00","2017-02-04T20:00:00-02:00","Praça São Salvador","Praça São Salvador - Parado","1000","2008"
"Liga de Blocos e Bandas da Zona Portuária","Saúde","Centro","04/02/17","Sábado - 3 semanas antes do Carnaval","2017-02-04T18:00:00-02:00","2017-02-04T19:00:00-02:00","2017-02-05T00:00:00-02:00","Praça Coronel Assunção (Praça da Harmonia)","Rua Sacadura Cabral, da Praça da Harmonia até o Largo São Francisco da Prainha","3000","2008"
"Seu Kuka","Grajaú","Tijuca e Adj","04/02/17","Sábado - 3 semanas antes do Carnaval","2017-02-04T15:00:00-02:00","2017-02-04T15:00:00-02:00","2017-02-04T21:00:00-02:00","Rua Emilia Sampaio","Parado","1000","2007"
"Só Caminha","Botafogo","Zona Sul","05/02/17","Domingo - 3 semanas antes do Carnaval","2017-02-05T12:00:00-02:00","2017-02-05T14:00:00-02:00","2017-02-05T18:00:00-02:00","Largo dos Leões","Largo dos Leões, Rua Marques, Rua Capistrano de Abreu, Rua Conde de Irajá e Largo dos Leões","2500","2010"
"Banda do Jiló","Tijuca","Tijuca e Adj","05/02/17","Domingo - 3 semanas antes do Carnaval","2017-02-05T14:00:00-02:00","2017-02-05T14:00:00-02:00","2017-02-05T20:00:00-02:00","Rua Pinto de Figueiredo, no 26","Rua Pinto de Figueiredo, no 26 - Parado","800","2004"
"Bigode Esticado","Méier","Zona Norte 2","05/02/17","Domingo - 3 semanas antes do Carnaval","2017-02-05T15:00:00-02:00","2017-02-05T18:00:00-02:00","2017-02-05T21:00:00-02:00","Rua Dias da Cruz, no 255","Rua Dias da Cruz, no 255 - Parado","500","1999"
"Unidos da Rego Barros","Santo Cristo","Centro","05/02/17","Domingo - 3 semanas antes do Carnaval","2017-02-05T15:00:00-02:00","2017-02-05T17:00:00-02:00","2017-02-05T21:00:00-02:00","Rua Rego Barros","RUA REGO BARROS, RUA DA AMÉRICA, RUA NABUCO DE FREITAS, VOLTANDO PELA RUA RUA DA AMÉRICA E RUA REGO BARROS","800","2011"
